id,talhao_id,fazenda_id,area_ha,latitude,longitude,safra,data,dia_juliano,dias_desde_plantio,estagio_fenologico,ndvi,evi,temperatura_superficie_c,umidade_solo_satelite_pct,precipitacao_mm,temperatura_ar_c,umidade_ar_pct,umidade_solo_sensor_pct,luminosidade_lux,necessidade_irrigacao,status_saude,produtividade_estimada_ton_ha,mes,ciclo_total_dias,dias_desde_plantio_pct,estagio_fenologico_cod,ndvi_media_7d,ndvi_tendencia_7d,precipitacao_acum_7d,umidade_solo_sensor_lag1,umidade_solo_sensor_delta1,amplitude_termica,indice_estresse_climatico,razao_umidade_sensor_satelite,cultura_Feijao,cultura_Milho,cultura_Soja,estacao_primavera,estacao_verao
221,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-10-26,299,0,germinacao,0.1744,0.1295,31.37,45.0,0.0,27.95,65.33,44.94,51839.2,0,saudavel,4.88,10,140,0.0,0,0.1744,0.0,0.0,44.94,0.0,3.42,9.69,0.9987,0,1,0,1,0
222,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-10-27,300,1,germinacao,0.1968,0.1584,32.73,39.3,0.0,29.97,68.36,34.7,51839.2,1,saudavel,4.88,10,140,0.0071,0,0.1856,0.0,0.0,44.94,-10.24,2.76,9.48,0.883,0,1,0,1,0
223,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-10-28,301,2,germinacao,0.2155,0.2041,32.08,34.08,0.0,30.03,68.41,26.35,48388.2,1,saudavel,4.88,10,140,0.0143,0,0.1956,0.0,0.0,34.7,-8.35,2.05,9.49,0.7732,0,1,0,1,0
224,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-10-29,302,3,germinacao,0.1977,0.1775,32.37,29.19,0.0,30.46,66.32,18.25,55740.8,1,saudavel,4.88,10,140,0.0214,0,0.1961,0.0,0.0,26.35,-8.1,1.91,10.26,0.6252,0,1,0,1,0
225,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-10-30,303,4,germinacao,0.153,0.1414,34.79,24.72,0.0,29.74,68.86,11.09,48713.1,1,atencao,4.88,10,140,0.0286,0,0.1875,0.0,0.0,18.25,-7.16,5.05,9.26,0.4486,0,1,0,1,0
226,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-10-31,304,5,germinacao,0.1781,0.116,31.56,20.61,0.0,29.98,70.08,9.51,51117.4,1,saudavel,4.88,10,140,0.0357,0,0.1859,0.0,0.0,11.09,-1.58,1.58,8.97,0.4614,0,1,0,1,0
227,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-01,305,6,germinacao,0.1884,0.1969,31.99,16.91,0.0,29.39,74.74,6.64,52982.7,1,saudavel,4.88,11,140,0.0429,0,0.1863,0.0,0.0,9.51,-2.87,2.6,7.42,0.3927,0,1,0,1,0
228,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-02,306,7,germinacao,0.1873,0.1354,30.18,13.61,0.0,28.61,70.42,5.0,58934.9,1,saudavel,4.88,11,140,0.05,0,0.1881,0.0129,0.0,6.64,-1.64,1.57,8.46,0.3674,0,1,0,1,0
229,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-03,307,8,germinacao,0.1951,0.1964,32.3,10.62,0.0,28.28,73.28,5.0,51961.9,1,saudavel,4.88,11,140,0.0571,0,0.1879,-0.0017,0.0,5.0,0.0,4.02,7.56,0.4708,0,1,0,1,0
230,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-04,308,9,germinacao,0.1667,0.1621,31.1,8.0,0.0,27.71,69.07,5.0,51495.6,1,atencao,4.88,11,140,0.0643,0,0.1809,-0.0488,0.0,5.0,0.0,3.39,8.57,0.625,0,1,0,1,0
231,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-05,309,10,germinacao,0.1872,0.1706,27.81,8.0,0.0,26.17,75.72,5.0,52100.6,1,saudavel,4.88,11,140,0.0714,0,0.1794,-0.0105,0.0,5.0,0.0,1.64,6.35,0.625,0,1,0,1,0
232,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-06,310,11,germinacao,0.1952,0.1488,29.23,8.0,0.0,26.48,74.71,5.0,58984.8,1,saudavel,4.88,11,140,0.0786,0,0.1854,0.0422,0.0,5.0,0.0,2.75,6.7,0.625,0,1,0,1,0
233,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-07,311,12,germinacao,0.2044,0.1768,29.83,8.0,0.0,27.41,74.71,5.0,45821.7,1,saudavel,4.88,11,140,0.0857,0,0.1892,0.0263,0.0,5.0,0.0,2.42,6.93,0.625,0,1,0,1,0
234,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-08,312,13,germinacao,0.1731,0.1377,30.04,8.0,0.0,28.11,75.72,5.0,51496.6,1,atencao,4.88,11,140,0.0929,0,0.187,-0.0153,0.0,5.0,0.0,1.93,6.83,0.625,0,1,0,1,0
235,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-09,313,14,vegetativo,0.1837,0.1568,32.94,8.0,0.0,29.83,74.21,5.0,62940.2,1,saudavel,4.88,11,140,0.1,1,0.1865,-0.0036,0.0,5.0,0.0,3.11,7.69,0.625,0,1,0,1,0
236,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-10,314,15,vegetativo,0.1383,0.1125,30.67,8.0,0.0,27.53,72.31,5.0,56755.8,1,critico,4.88,11,140,0.1071,1,0.1784,-0.0568,0.0,5.0,0.0,3.14,7.62,0.625,0,1,0,1,0
237,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-11,315,16,vegetativo,0.1819,0.1138,31.59,8.0,0.0,29.01,73.28,5.0,51897.3,1,saudavel,4.88,11,140,0.1143,1,0.1805,0.0152,0.0,5.0,0.0,2.58,7.75,0.625,0,1,0,1,0
238,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-12,316,17,vegetativo,0.1861,0.1806,31.32,8.0,0.0,29.04,77.5,5.0,55316.8,1,saudavel,4.88,11,140,0.1214,1,0.1804,-0.0011,0.0,5.0,0.0,2.28,6.53,0.625,0,1,0,1,0
239,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-13,317,18,vegetativo,0.1788,0.1503,29.81,8.0,0.0,26.99,70.29,5.0,55867.4,1,atencao,4.88,11,140,0.1286,1,0.178,-0.0164,0.0,5.0,0.0,2.82,8.02,0.625,0,1,0,1,0
240,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-14,318,19,vegetativo,0.2055,0.1649,30.52,8.0,0.0,28.14,69.85,5.0,58420.9,1,saudavel,4.88,11,140,0.1357,1,0.1782,0.0011,0.0,5.0,0.0,2.38,8.48,0.625,0,1,0,1,0
241,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-15,319,20,vegetativo,0.2045,0.1626,29.02,8.0,7.0,26.8,74.85,5.0,55070.1,0,saudavel,4.88,11,140,0.1429,1,0.1827,0.0314,7.0,5.0,0.0,2.22,6.74,0.625,0,1,0,1,0
242,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-16,320,21,vegetativo,0.1644,0.1469,30.94,8.0,0.0,29.06,74.79,5.0,57468.0,1,atencao,4.88,11,140,0.15,1,0.1799,-0.0193,7.0,5.0,0.0,1.88,7.33,0.625,0,1,0,1,0
243,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-17,321,22,vegetativo,0.2185,0.1678,31.67,8.0,0.0,27.94,69.4,5.0,54885.3,1,saudavel,4.88,11,140,0.1571,1,0.1914,0.0802,7.0,5.0,0.0,3.73,8.55,0.625,0,1,0,1,0
244,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-18,322,23,vegetativo,0.2008,0.1256,26.25,8.0,0.0,25.11,74.97,5.0,59063.0,1,atencao,4.88,11,140,0.1643,1,0.1941,0.0189,7.0,5.0,0.0,1.14,6.29,0.625,0,1,0,1,0
245,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-19,323,24,vegetativo,0.2351,0.2079,29.36,8.0,0.0,27.05,73.83,5.0,54798.9,1,saudavel,4.88,11,140,0.1714,1,0.2011,0.049,7.0,5.0,0.0,2.31,7.08,0.625,0,1,0,1,0
246,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-20,324,25,vegetativo,0.2065,0.1859,31.01,8.0,0.0,29.18,62.07,5.0,53980.2,1,atencao,4.88,11,140,0.1786,1,0.205,0.0277,7.0,5.0,0.0,1.83,11.07,0.625,0,1,0,1,0
247,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-21,325,26,vegetativo,0.2405,0.2004,29.94,8.0,0.0,26.35,73.87,5.0,51981.7,1,saudavel,4.88,11,140,0.1857,1,0.21,0.035,7.0,5.0,0.0,3.59,6.89,0.625,0,1,0,1,0
248,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-22,326,27,vegetativo,0.243,0.1836,28.11,8.0,9.42,26.35,73.79,5.0,51981.7,0,saudavel,4.88,11,140,0.1929,1,0.2155,0.0385,9.42,5.0,0.0,1.76,6.91,0.625,0,1,0,1,0
249,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-23,327,28,vegetativo,0.2646,0.2267,28.13,8.0,0.0,27.25,73.86,5.0,54918.1,1,saudavel,4.88,11,140,0.2,1,0.2299,0.1002,9.42,5.0,0.0,0.88,7.12,0.625,0,1,0,1,0
250,F01-MIL,F01,228.7,-16.51755,-49.15725,2023/2024,2023-11-24,328,29,vegetativo,0.2722,0.2021,25.36,8.0,36.81,24.78,83.33,18.7,25352.8,0,saudavel,4.88,11,140,0.2071,1,0.2375,0.0537,46.23,5.0,13.7,0.58,4.13,2.3375,0,1,0,1,0
