id,talhao_id,fazenda_id,cultura,area_ha,latitude,longitude,safra,data,dia_juliano,dias_desde_plantio,estagio_fenologico,ndvi,evi,temperatura_superficie_c,umidade_solo_satelite_pct,precipitacao_mm,temperatura_ar_c,umidade_ar_pct,umidade_solo_sensor_pct,luminosidade_lux,necessidade_irrigacao,status_saude,produtividade_estimada_ton_ha
1,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-10-16,289,0,germinacao,0.1772,0.141,33.08,45.0,2.69,30.67,69.29,44.97,42836.0,0,saudavel,2.42
2,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-10-17,290,1,germinacao,0.2132,0.2099,32.32,39.34,0.0,29.79,64.53,35.26,51091.4,0,saudavel,2.42
3,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-10-18,291,2,germinacao,0.1666,0.1184,32.6,34.17,0.0,28.93,74.5,24.73,50589.2,1,atencao,2.42
4,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-10-19,292,3,germinacao,0.204,0.1311,32.86,37.66,16.4,29.05,65.1,28.34,35781.7,0,saudavel,2.42
5,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-10-20,293,4,germinacao,0.1519,0.0919,31.02,32.7,0.0,28.08,65.82,20.4,46845.7,1,atencao,2.42
6,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-10-21,294,5,germinacao,0.18,0.1536,32.64,31.8,7.6,29.67,70.93,17.13,40610.4,0,saudavel,2.42
7,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-10-22,295,6,germinacao,0.1912,0.1632,29.39,27.35,0.0,28.26,73.07,9.22,48146.8,1,saudavel,2.42
8,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-10-23,296,7,germinacao,0.2012,0.1687,29.15,33.21,19.59,27.05,72.4,19.06,35348.0,0,saudavel,2.42
9,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-10-24,297,8,germinacao,0.2056,0.199,30.0,28.83,0.0,26.91,61.99,12.86,47507.3,1,saudavel,2.42
10,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-10-25,298,9,germinacao,0.2094,0.1246,32.0,24.56,0.0,29.02,72.02,6.46,51988.9,1,saudavel,2.42
11,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-10-26,299,10,germinacao,0.1892,0.1687,33.58,20.35,0.0,31.07,63.1,5.0,47249.8,1,saudavel,2.42
12,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-10-27,300,11,vegetativo,0.19,0.1928,32.05,16.74,0.0,28.87,70.94,5.0,50658.1,1,saudavel,2.42
13,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-10-28,301,12,vegetativo,0.2201,0.1645,30.9,13.53,0.0,28.39,63.1,5.0,51890.7,1,saudavel,2.42
14,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-10-29,302,13,vegetativo,0.2035,0.1654,32.3,10.48,0.0,28.93,72.3,5.0,59185.0,1,saudavel,2.42
15,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-10-30,303,14,vegetativo,0.1869,0.1438,33.0,8.0,0.0,30.39,65.33,5.0,48001.7,1,atencao,2.42
16,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-10-31,304,15,vegetativo,0.1958,0.1486,30.57,10.23,10.6,28.69,64.13,5.0,47568.1,0,atencao,2.42
17,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-11-01,305,16,vegetativo,0.2072,0.1696,30.14,8.0,0.0,,74.89,5.0,53139.4,1,atencao,2.42
18,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-11-02,306,17,vegetativo,0.2438,0.2358,28.75,8.0,0.0,29.87,71.37,5.0,54195.5,1,saudavel,2.42
19,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-11-03,307,18,vegetativo,0.2464,0.2462,30.95,8.0,0.0,28.78,67.91,5.0,53585.0,0,saudavel,2.42
20,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-11-04,308,19,vegetativo,0.2686,0.2216,28.3,8.0,0.0,30.37,77.44,5.0,54827.8,1,saudavel,2.42
21,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-11-05,309,20,vegetativo,0.2591,0.2583,28.21,8.0,0.0,28.26,69.4,5.0,53292.0,1,saudavel,2.42
22,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-11-06,310,21,vegetativo,0.2856,0.2434,27.96,8.0,0.0,26.07,73.23,5.0,58370.3,1,saudavel,2.42
23,F01-SOJ,F01,Soja,62.6,-16.52925,-49.16363,2023/2024,2023-11-07,311,22,vegetativo,0.3117,0.3,27.45,8.0,23.47,25.78,74.75,5.44,31661.7,0,saudavel,2.42
